date,session_key,driver_number,speed,brake,rpm,n_gear,drs,meeting_key,throttle,x,y,z
2025-05-04T19:07:53.948000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:07:54.108000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:07:54.268000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:07:54.429000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:07:54.749000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:07:54.909000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:07:55.148000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:07:55.508000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:07:55.828000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:07:56.028000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:07:56.268000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:07:56.628000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:07:56.988000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:07:57.308000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:07:57.668000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:07:58.028000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:07:58.228000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:07:58.388000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:07:58.748000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:07:58.908000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:07:59.108000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:07:59.508000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:07:59.708000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:07:59.948000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:00.108000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
